2025-09-24 19:47:56.855 [main] INFO  com.org.quoteservice.server.Application - Starting Application using Java 24.0.1 with PID 41560 (D:\Project\Golang\java_go_web\v20250910\java_svc\target\classes started by USER in D:\Project\Golang\java_go_web\v20250910\java_svc)
2025-09-24 19:47:56.857 [main] INFO  com.org.quoteservice.server.Application - No active profile set, falling back to 1 default profile: "default"
2025-09-24 19:47:57.735 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-24 19:47:57.749 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-24 19:47:57.751 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-24 19:47:57.752 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
2025-09-24 19:47:57.793 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-24 19:47:57.794 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 887 ms
2025-09-24 19:47:58.102 [main] INFO  c.o.q.server.adapter.in.nats.QuoteNatsListener - NATS dispatcher subscribed to quotes.>
2025-09-24 19:47:58.326 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-24 19:47:58.345 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-24 19:47:58.350 [main] INFO  com.org.quoteservice.server.Application - Started Application in 1.876 seconds (process running for 2.385)
2025-09-24 19:47:58.760 [nats:3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-24 19:47:59.107 [nats:3] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4e8296d4
2025-09-24 19:47:59.108 [nats:3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-24 19:48:11.550 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-24 19:48:11.561 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-24 19:48:11.564 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-09-24 19:48:11.572 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-09-24 20:46:48.101 [main] INFO  com.org.quoteservice.server.Application - Starting Application using Java 24.0.1 with PID 46412 (D:\Project\Golang\java_go_web\v20250910\java_svc\target\classes started by USER in D:\Project\Golang\java_go_web\v20250910\java_svc)
2025-09-24 20:46:48.103 [main] INFO  com.org.quoteservice.server.Application - No active profile set, falling back to 1 default profile: "default"
2025-09-24 20:46:48.901 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-24 20:46:48.911 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-24 20:46:48.915 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-24 20:46:48.915 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
2025-09-24 20:46:48.961 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-24 20:46:48.962 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 823 ms
2025-09-24 20:46:49.287 [main] INFO  c.o.q.server.adapter.in.nats.QuoteNatsListener - NATS dispatcher subscribed to quotes.>
2025-09-24 20:46:49.400 [nats:3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-24 20:46:49.542 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-24 20:46:49.570 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-24 20:46:49.643 [main] INFO  com.org.quoteservice.server.Application - Started Application in 1.954 seconds (process running for 2.509)
2025-09-24 20:46:49.680 [nats:3] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@243d5887
2025-09-24 20:46:49.682 [nats:3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-24 20:46:58.817 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-24 20:46:58.822 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-24 20:46:58.827 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-09-24 20:46:58.835 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
